[2022-10-10 19:57:17,987] [asyncio] [DEBUG] : Using selector: EpollSelector
[2022-10-10 19:57:19,681] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:57:19 +0000] "GET / HTTP/1.1" 304 177 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:57:19,699] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:57:19 +0000] "GET /index.js HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:57:19,700] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:57:19 +0000] "GET /results.js HTTP/1.1" 304 177 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:57:19,701] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:57:19 +0000] "GET /styles.css HTTP/1.1" 200 235 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:57:19,701] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:57:19 +0000] "GET /styles.css HTTP/1.1" 200 235 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:57:19,702] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:57:19 +0000] "GET /assets/acc.png HTTP/1.1" 200 238 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:57:19,702] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:57:19 +0000] "GET /assets/lwetb.png HTTP/1.1" 200 239 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:57:19,736] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:57:19 +0000] "GET /api/guesses HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:58:05,897] [root] [INFO] : []
[2022-10-10 19:58:05,897] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:58:05 +0000] "GET /api/entries HTTP/1.1" 200 159 "-" "curl/7.85.0"
[2022-10-10 19:58:32,409] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:58:32 +0000] "POST /api/users HTTP/1.1" 201 169 "-" "curl/7.85.0"
[2022-10-10 19:58:54,599] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:58:54 +0000] "POST /api/entries HTTP/1.1" 201 169 "-" "curl/7.85.0"
[2022-10-10 19:58:58,683] [root] [INFO] : [{'entryid': 1, 'user': {'id': 1, 'name': 'bob'}, 'timetaken': 0.5}]
[2022-10-10 19:58:58,684] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:58:58 +0000] "GET /api/entries HTTP/1.1" 200 226 "-" "curl/7.85.0"
[2022-10-10 19:59:06,221] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:06 +0000] "GET / HTTP/1.1" 304 177 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:06,232] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:06 +0000] "GET /index.js HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:06,233] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:06 +0000] "GET /results.js HTTP/1.1" 304 177 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:06,233] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:06 +0000] "GET /styles.css HTTP/1.1" 304 177 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:06,237] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:06 +0000] "GET /assets/acc.png HTTP/1.1" 304 178 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:06,238] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:06 +0000] "GET /assets/lwetb.png HTTP/1.1" 304 179 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:06,262] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:06 +0000] "GET /api/guesses HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:07,915] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:07 +0000] "GET / HTTP/1.1" 200 235 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:07,925] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:07 +0000] "GET /index.js HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:07,927] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:07 +0000] "GET /styles.css HTTP/1.1" 200 235 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:07,927] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:07 +0000] "GET /results.js HTTP/1.1" 200 248 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:07,928] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:07 +0000] "GET /styles.css HTTP/1.1" 200 235 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:07,931] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:07 +0000] "GET /assets/acc.png HTTP/1.1" 200 238 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:07,932] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:07 +0000] "GET /assets/lwetb.png HTTP/1.1" 200 239 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:07,933] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:07 +0000] "GET /favicon.ico HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:07,955] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:07 +0000] "GET /api/guesses HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 19:59:21,641] [root] [INFO] : [{'entryid': 1, 'user': {'id': 1, 'name': 'bob'}, 'timetaken': 0.5}]
[2022-10-10 19:59:21,642] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:18:59:21 +0000] "GET /api/entries HTTP/1.1" 200 226 "-" "curl/7.85.0"
